trans_date_trans_time,category,amt,state,city,gender,job,merchant,is_fraud
2019-05-12 20:41:27,misc_pos,9.26,IL,Bonfield,F,Medical secretary,fraud_Halvorson Group,0
2020-05-10 22:28:16,personal_care,9.6,MS,Heidelberg,M,"Exhibitions officer, museum/gallery","fraud_Lubowitz, Terry and Stracke",0
2020-05-04 12:45:01,shopping_pos,4.08,NY,Hudson,M,Travel agency manager,"fraud_Nitzsche, Kessler and Wolff",0
2019-01-08 08:22:54,shopping_pos,9.4,MN,Hawley,F,Naval architect,fraud_Barrows PLC,0
2019-11-23 21:26:29,entertainment,8.59,NY,Breesport,F,Psychotherapist,fraud_Thiel-Thiel,0
2019-12-19 22:02:51,food_dining,19.82,SD,Deadwood,M,Multimedia programmer,fraud_Kilback LLC,0
2019-07-09 14:02:16,home,21.13,LA,Gretna,M,Biomedical scientist,fraud_Quitzon-Goyette,0
2019-06-15 14:20:26,entertainment,9.02,TX,Sachse,M,Site engineer,"fraud_Runolfsdottir, Mueller and Hand",0
2020-03-14 18:21:34,entertainment,114.56,TX,Leonard,F,Sub,fraud_Padberg-Rogahn,0
2019-06-08 22:04:09,kids_pets,17.46,OR,Cascade Locks,F,Barrister,fraud_Schimmel-Olson,0
2019-12-09 02:57:29,gas_transport,80.54,MD,Cecilton,M,Podiatrist,fraud_Harris Inc,0
2019-10-19 23:52:50,home,123.46,TX,Ratcliff,F,"Engineer, production","fraud_Kling, Howe and Schneider",0
2019-09-16 19:55:40,home,40.35,OH,Paulding,M,Secondary school teacher,"fraud_Prosacco, Kreiger and Kovacek",0
2019-12-21 00:36:30,grocery_pos,123.33,NV,Ruth,M,Interpreter,fraud_McDermott-Weimann,0
2019-02-14 13:51:33,shopping_pos,7.28,PA,Armagh,F,Early years teacher,"fraud_Quitzon, Green and Bashirian",0
2019-06-03 13:14:40,food_dining,5.96,AR,Norman,F,Manufacturing engineer,fraud_Jakubowski Group,0
2020-03-24 13:18:18,food_dining,68.18,ME,Kittery Point,M,Broadcast engineer,"fraud_Graham, Hegmann and Hammes",0
2019-07-08 13:09:48,home,17.2,WI,Milwaukee,M,"Accountant, chartered public finance",fraud_Kutch-Ferry,0
2019-01-21 02:51:19,shopping_pos,5.0,CA,Laguna Hills,F,Sales executive,fraud_Conroy Ltd,0
2020-01-13 14:20:12,personal_care,30.1,PA,Emporium,M,Public affairs consultant,fraud_Crooks and Sons,0
2019-05-30 15:13:49,home,14.41,IL,Lomax,F,Environmental consultant,"fraud_Crist, Jakubowski and Littel",0
2019-02-28 10:00:21,gas_transport,70.45,MD,Tuscarora,M,"Production assistant, television","fraud_Reilly, Heaney and Cole",0
2019-04-07 18:12:27,shopping_pos,6.85,TX,Thrall,F,Press sub,fraud_Kuhn LLC,0
2020-03-01 01:52:13,grocery_pos,129.53,MS,Sontag,M,"Librarian, academic","fraud_Heller, Gutmann and Zieme",0
2019-08-12 21:25:42,personal_care,92.14,TX,Sherman,F,Systems developer,fraud_Langworth LLC,0
2019-12-17 06:48:59,gas_transport,55.53,WA,Orient,F,Special educational needs teacher,"fraud_Raynor, Feest and Miller",0
2019-01-08 21:24:49,home,88.55,VA,Doe Hill,M,Dance movement psychotherapist,fraud_Kutch-Ferry,0
2019-02-14 21:46:50,home,29.5,GA,Surrency,F,"Engineer, technical sales","fraud_Moore, Williamson and Emmerich",0
2020-05-07 11:49:20,grocery_net,47.52,FL,Saint Petersburg,M,"Engineer, land",fraud_Gutmann Ltd,0
2019-08-07 16:55:25,misc_pos,4.92,TX,Trenton,F,"Investment banker, operational",fraud_Herman Inc,0
2019-09-08 01:15:37,shopping_net,4.57,ID,Malad City,M,Nature conservation officer,fraud_Cormier LLC,0
2019-06-28 07:46:49,grocery_pos,70.39,AL,Grant,M,Curator,fraud_Kiehn-Emmerich,0
2019-12-19 19:43:56,kids_pets,55.65,NH,Acworth,M,Naval architect,"fraud_Romaguera, Wehner and Tromp",0
2019-06-24 22:00:36,travel,4215.99,MD,Corriganville,M,Energy engineer,"fraud_Kilback, Nitzsche and Leffler",0
2019-04-22 18:20:50,kids_pets,11.61,MD,Whaleyville,F,Regulatory affairs officer,fraud_Schimmel-Olson,0
2019-02-19 12:26:16,food_dining,60.87,NY,New York City,F,Herbalist,fraud_Jast and Sons,0
2020-03-12 17:16:10,kids_pets,108.28,FL,West Palm Beach,F,Historic buildings inspector/conservation officer,fraud_Schaefer Ltd,0
2020-06-12 07:53:34,gas_transport,86.92,KY,Elizabethtown,M,Surgeon,fraud_Luettgen PLC,0
2020-05-31 18:52:08,personal_care,8.55,NM,Ruidoso,F,Licensed conveyancer,fraud_Auer LLC,0
2019-01-13 22:25:36,personal_care,2.1,WI,Waupaca,F,"Engineer, civil (contracting)",fraud_Reichel LLC,0
2019-01-20 22:09:15,travel,6.21,AL,Brantley,F,Exercise physiologist,fraud_Ankunding-Carroll,0
2019-08-07 10:02:30,grocery_pos,97.28,WI,New Franken,M,Art therapist,"fraud_Huel, Hammes and Witting",0
2019-10-03 05:34:24,misc_pos,1853.0,AK,Wales,M,"Administrator, education",fraud_McDermott-Rice,0
2019-06-18 04:28:03,gas_transport,69.63,MA,Methuen,M,Market researcher,fraud_Emard Inc,0
2020-06-16 17:23:03,travel,9.49,NY,Jefferson,M,Diagnostic radiographer,fraud_Lynch-Mohr,0
2019-06-08 16:07:10,kids_pets,80.93,OH,Rosewood,F,Professor Emeritus,fraud_Hoppe-Parisian,0
2019-02-19 04:56:08,gas_transport,74.23,WY,Riverton,M,"Lecturer, higher education",fraud_Kling Inc,0
2019-10-25 01:20:20,shopping_net,96.79,OH,Beaverdam,M,Museum/gallery conservator,"fraud_Schmeler, Bashirian and Price",0
2020-03-24 12:36:17,personal_care,7.0,OK,Oklahoma City,M,Advertising copywriter,fraud_Wilkinson LLC,0
2019-12-18 13:34:13,health_fitness,67.05,CA,Fields Landing,F,"Scientist, audiological",fraud_Torphy-Kertzmann,0
2019-09-26 12:27:22,kids_pets,43.44,MI,Cedar,M,"Social research officer, government",fraud_Breitenberg-Hermiston,0
2019-07-22 14:42:40,misc_net,34.56,TX,San Antonio,M,Land,fraud_Ruecker Group,0
2019-10-21 11:00:39,misc_pos,2.85,CO,Iliff,M,Community arts worker,fraud_Smith-Stokes,0
2019-02-03 11:01:00,grocery_pos,192.68,CA,Newhall,F,Health physicist,fraud_Barton Inc,0
2020-01-09 14:50:43,shopping_pos,7.28,TX,O Brien,F,Warden/ranger,fraud_Beier-Hyatt,0
2019-09-15 10:55:53,gas_transport,62.84,WA,Tekoa,M,Clothing/textile technologist,fraud_Huels-Hahn,0
2019-03-09 20:03:57,travel,7.11,OK,Tryon,M,"Psychotherapist, child",fraud_Treutel-King,0
2019-07-08 19:52:46,home,9.45,ME,Nobleboro,F,Financial trader,"fraud_Crist, Jakubowski and Littel",0
2019-08-24 20:06:46,kids_pets,48.34,PA,Cokeburg,M,Dealer,"fraud_Yost, Schamberger and Windler",0
2020-04-12 21:42:58,health_fitness,13.66,NC,Grover,F,Toxicologist,fraud_Schumm PLC,0
2020-05-08 15:47:35,travel,6.85,WV,Winfield,M,Exhibition designer,fraud_Boyer-Haley,0
2019-12-24 23:59:49,entertainment,12.8,PA,Pittsburgh,M,"Scientist, marine",fraud_Abshire PLC,0
2020-05-17 20:13:18,health_fitness,22.93,PA,Clarks Mills,F,Energy manager,"fraud_Conroy, Balistreri and Gorczany",0
2019-09-16 03:41:24,gas_transport,70.4,MS,Moorhead,M,Chartered public finance accountant,fraud_Conroy-Cruickshank,0
